Type,X,Y,BB Width,BB Height,filename,Image Width,Image Height
title,85,98,562,93,video5_0_1_shot13.jpg,1280,720
header,147,9,294,55,video5_0_1_shot13.jpg,1280,720
text box,89,216,572,24,video5_0_1_shot13.jpg,1280,720
text box,89,258,454,26,video5_0_1_shot13.jpg,1280,720
text box,89,299,538,126,video5_0_1_shot13.jpg,1280,720
text box,89,438,472,62,video5_0_1_shot13.jpg,1280,720
text box,90,514,467,26,video5_0_1_shot13.jpg,1280,720
text box,90,555,501,27,video5_0_1_shot13.jpg,1280,720
text box,90,595,413,28,video5_0_1_shot13.jpg,1280,720
text box,90,638,503,25,video5_0_1_shot13.jpg,1280,720
footer,117,693,64,17,video5_0_1_shot13.jpg,1280,720
picture,685,155,334,492,video5_0_1_shot13.jpg,1280,720
header,682,47,224,17,video5_0_1_shot13.jpg,1280,720
instructor,989,391,290,327,video5_0_1_shot13.jpg,1280,720
header,146,9,295,54,video5_0_1_shot20.jpg,1280,720
instructor,979,381,300,337,video5_0_1_shot20.jpg,1280,720
picture,675,195,305,436,video5_0_1_shot20.jpg,1280,720
header,682,47,224,15,video5_0_1_shot20.jpg,1280,720
footer,115,692,68,18,video5_0_1_shot20.jpg,1280,720
title,83,106,602,46,video5_0_1_shot20.jpg,1280,720
text box,74,168,373,30,video5_0_1_shot20.jpg,1280,720
text box,114,213,301,28,video5_0_1_shot20.jpg,1280,720
text box,100,251,179,29,video5_0_1_shot20.jpg,1280,720
text box,68,287,533,87,video5_0_1_shot20.jpg,1280,720
text box,74,387,486,28,video5_0_1_shot20.jpg,1280,720
text box,60,427,506,24,video5_0_1_shot20.jpg,1280,720
text box,87,466,504,62,video5_0_1_shot20.jpg,1280,720
text box,76,546,527,31,video5_0_1_shot20.jpg,1280,720
text box,81,584,416,28,video5_0_1_shot20.jpg,1280,720
text box,120,619,426,56,video5_0_1_shot20.jpg,1280,720
header,147,9,295,54,video5_0_1_shot24.jpg,1280,720
header,681,46,225,17,video5_0_1_shot24.jpg,1280,720
title,111,121,808,45,video5_0_1_shot24.jpg,1280,720
footer,116,691,66,19,video5_0_1_shot24.jpg,1280,720
instructor,1016,393,264,325,video5_0_1_shot24.jpg,1280,720
diagram,100,186,900,533,video5_0_1_shot24.jpg,1280,720
header,147,9,294,54,video5_0_1_shot25.jpg,1280,720
header,682,47,224,18,video5_0_1_shot25.jpg,1280,720
title,115,88,792,88,video5_0_1_shot25.jpg,1280,720
instructor,1012,391,266,328,video5_0_1_shot25.jpg,1280,720
footer,115,692,67,18,video5_0_1_shot25.jpg,1280,720
picture,124,194,196,161,video5_0_1_shot25.jpg,1280,720
picture,346,194,182,161,video5_0_1_shot25.jpg,1280,720
picture,565,194,187,160,video5_0_1_shot25.jpg,1280,720
picture,123,435,186,190,video5_0_1_shot25.jpg,1280,720
picture,785,198,167,158,video5_0_1_shot25.jpg,1280,720
text box,554,429,411,204,video5_0_1_shot25.jpg,1280,720
header,145,7,297,58,video5_0_1_shot28.jpg,1280,720
